name,bitdepth,rmse,psnr,compressed_size,bpp,compression_ratio,ssim
I47_q30_rec,16,922.5194,37.03,74803,2.2828,7.01,
I47_q60_rec,16,922.5498,37.03,53135,1.6216,9.87,
I48_q10_rec,16,922.5062,37.03,117451,3.5843,4.46,
I48_q30_rec,16,922.5189,37.03,72426,2.2103,7.24,
I48_q60_rec,16,922.5483,37.03,51370,1.5677,10.21,
I49_q10_rec,16,922.5062,37.03,115371,3.5208,4.54,
I49_q30_rec,16,922.5187,37.03,70490,2.1512,7.44,
I49_q60_rec,16,922.5472,37.03,49806,1.52,10.53,
I4_q10_rec,16,922.5058,37.03,93141,2.8424,5.63,
I4_q30_rec,16,922.5154,37.03,56547,1.7257,9.27,
I4_q60_rec,16,922.538,37.03,41433,1.2644,12.65,
I50_q10_rec,16,922.5062,37.03,114708,3.5006,4.57,
I50_q30_rec,16,922.5186,37.03,70028,2.1371,7.49,
I50_q60_rec,16,922.547,37.03,49352,1.5061,10.62,
I51_q10_rec,16,922.5062,37.03,113038,3.4496,4.64,
I51_q30_rec,16,922.5186,37.03,68458,2.0892,7.66,
I51_q60_rec,16,922.5463,37.03,47943,1.4631,10.94,
I52_q10_rec,16,922.5062,37.03,111023,3.3882,4.72,
I52_q30_rec,16,922.5183,37.03,66930,2.0425,7.83,
I52_q60_rec,16,922.5452,37.03,46580,1.4215,11.26,
I53_q10_rec,16,922.5061,37.03,108542,3.3124,4.83,
I53_q30_rec,16,922.5181,37.03,64598,1.9714,8.12,
I53_q60_rec,16,922.5441,37.03,44776,1.3665,11.71,
I54_q10_rec,16,922.5061,37.03,106850,3.2608,4.91,
I54_q30_rec,16,922.5178,37.03,63281,1.9312,8.29,
I54_q60_rec,16,922.5433,37.03,43637,1.3317,12.01,
I55_q10_rec,16,922.5061,37.03,104382,3.1855,5.02,
I55_q30_rec,16,922.5177,37.03,61695,1.8828,8.5,
I55_q60_rec,16,922.5422,37.03,42303,1.291,12.39,
I56_q10_rec,16,922.506,37.03,101320,3.092,5.17,
I56_q30_rec,16,922.5173,37.03,59087,1.8032,8.87,
I56_q60_rec,16,922.5407,37.03,40438,1.2341,12.97,
I57_q10_rec,16,922.506,37.03,99087,3.0239,5.29,
I57_q30_rec,16,922.517,37.03,57395,1.7516,9.13,
I57_q60_rec,16,922.5398,37.03,39289,1.199,13.34,
I58_q10_rec,16,922.506,37.03,99576,3.0388,5.27,
I58_q30_rec,16,922.5171,37.03,57501,1.7548,9.12,
I58_q60_rec,16,922.54,37.03,39341,1.2006,13.33,
I59_q10_rec,16,922.506,37.03,100757,3.0749,5.2,
I59_q30_rec,16,922.5173,37.03,58382,1.7817,8.98,
I59_q60_rec,16,922.5407,37.03,39802,1.2147,13.17,
I5_q10_rec,16,922.5059,37.03,99623,3.0403,5.26,
I5_q30_rec,16,922.5162,37.03,61115,1.8651,8.58,
I5_q60_rec,16,922.5409,37.03,44677,1.3634,11.74,
I60_q10_rec,16,922.506,37.03,101258,3.0901,5.18,
I60_q30_rec,16,922.5173,37.03,58576,1.7876,8.95,
I60_q60_rec,16,922.5406,37.03,39777,1.2139,13.18,
I61_q10_rec,16,922.506,37.03,101284,3.0909,5.18,
I61_q30_rec,16,922.5173,37.03,58588,1.788,8.95,
I61_q60_rec,16,922.5406,37.03,39736,1.2126,13.19,
I62_q10_rec,16,922.506,37.03,101139,3.0865,5.18,
I62_q30_rec,16,922.5174,37.03,58596,1.7882,8.95,
I62_q60_rec,16,922.5408,37.03,39699,1.2115,13.21,
I63_q10_rec,16,922.506,37.03,100613,3.0705,5.21,
I63_q30_rec,16,922.5173,37.03,58489,1.7849,8.96,
I63_q60_rec,16,922.5403,37.03,39688,1.2112,13.21,
I64_q10_rec,16,922.506,37.03,101153,3.0869,5.18,
I64_q30_rec,16,922.5173,37.03,58707,1.7916,8.93,
I64_q60_rec,16,922.5404,37.03,39765,1.2135,13.18,
